"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 12:29:09 GMT 2025","Mon Mar 31 12:29:09 GMT 2025","565","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:29:07 GMT 2025","Mon Mar 31 12:29:08 GMT 2025","560","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","firstNameSortingTest","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 12:29:10 GMT 2025","Mon Mar 31 12:29:13 GMT 2025","3493","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","negativeAddCustomerTest","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 12:29:07 GMT 2025","Mon Mar 31 12:29:08 GMT 2025","895","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","deleteCustomerTest","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 12:29:07 GMT 2025","Mon Mar 31 12:29:09 GMT 2025","1514","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:29:09 GMT 2025","Mon Mar 31 12:29:10 GMT 2025","472","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
