"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 14:29:51 GMT 2025","Mon Mar 31 14:29:55 GMT 2025","3544","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","Negative Add Customer Test","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 14:29:48 GMT 2025","Mon Mar 31 14:29:49 GMT 2025","1006","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","Delete Customer Test","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 14:29:50 GMT 2025","Mon Mar 31 14:29:50 GMT 2025","661","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:29:48 GMT 2025","Mon Mar 31 14:29:49 GMT 2025","639","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","Firstname Sorting Test","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 14:29:48 GMT 2025","Mon Mar 31 14:29:50 GMT 2025","1627","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:29:50 GMT 2025","Mon Mar 31 14:29:51 GMT 2025","537","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
