"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 15:10:48 GMT 2025","Mon Mar 31 15:10:50 GMT 2025","1769","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 15:10:48 GMT 2025","Mon Mar 31 15:10:52 GMT 2025","4257","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","Negative Add Customer Test","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 15:10:50 GMT 2025","Mon Mar 31 15:10:50 GMT 2025","787","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 15:10:50 GMT 2025","Mon Mar 31 15:10:51 GMT 2025","688","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 15:10:50 GMT 2025","Mon Mar 31 15:10:51 GMT 2025","720","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","Delete Customer Test","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 15:10:48 GMT 2025","Mon Mar 31 15:10:49 GMT 2025","836","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","Firstname Sorting Test","Проверка фильтрации клиентов по имени в списке."
