"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","0","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"broken","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","1","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","initBeforeMethod","initBeforeMethod",""
"broken","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","0","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","initBeforeMethod","initBeforeMethod",""
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","1","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","Negative Add Customer Test","Проверка, что система не позволяет создать клиента с невалидными данными."
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","1","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","5","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"broken","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","2","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","initBeforeMethod","initBeforeMethod",""
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","2","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","Firstname Sorting Test","Проверка фильтрации клиентов по имени в списке."
"skipped","Mon Jun 16 15:29:07 GMT 2025","Mon Jun 16 15:29:07 GMT 2025","1","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","Delete Customer Test","Проверка успешного удаления существующего клиента из системы."
