"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 14:18:47 GMT 2025","Mon Mar 31 14:18:48 GMT 2025","1525","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:18:47 GMT 2025","Mon Mar 31 14:18:48 GMT 2025","593","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","Firstname Sorting Test","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 14:18:49 GMT 2025","Mon Mar 31 14:18:49 GMT 2025","621","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:18:50 GMT 2025","Mon Mar 31 14:18:53 GMT 2025","3569","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","Negative Add Customer Test","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 14:18:47 GMT 2025","Mon Mar 31 14:18:48 GMT 2025","1000","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","Delete Customer Test","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 14:18:49 GMT 2025","Mon Mar 31 14:18:50 GMT 2025","529","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
