"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 12:32:03 GMT 2025","Mon Mar 31 12:32:07 GMT 2025","3540","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","negativeAddCustomerTest","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 12:32:01 GMT 2025","Mon Mar 31 12:32:01 GMT 2025","551","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","firstNameSortingTest","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 12:32:02 GMT 2025","Mon Mar 31 12:32:03 GMT 2025","612","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:32:01 GMT 2025","Mon Mar 31 12:32:02 GMT 2025","1443","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:32:01 GMT 2025","Mon Mar 31 12:32:02 GMT 2025","966","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","deleteCustomerTest","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 12:32:03 GMT 2025","Mon Mar 31 12:32:03 GMT 2025","479","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
