"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 12:16:58 GMT 2025","Mon Mar 31 12:16:59 GMT 2025","926","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","deleteCustomerTest","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 12:16:58 GMT 2025","Mon Mar 31 12:16:59 GMT 2025","1513","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:16:59 GMT 2025","Mon Mar 31 12:17:00 GMT 2025","564","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 12:16:58 GMT 2025","Mon Mar 31 12:16:58 GMT 2025","547","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","firstNameSortingTest","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 12:17:00 GMT 2025","Mon Mar 31 12:17:04 GMT 2025","3515","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","negativeAddCustomerTest","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 12:17:00 GMT 2025","Mon Mar 31 12:17:00 GMT 2025","481","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","addCustomerTest","Проверка успешного создания клиента со сгенерированными данными."
