"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 14:35:44 GMT 2025","Mon Mar 31 14:35:45 GMT 2025","502","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:35:42 GMT 2025","Mon Mar 31 14:35:44 GMT 2025","1506","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
"passed","Mon Mar 31 14:35:42 GMT 2025","Mon Mar 31 14:35:43 GMT 2025","1023","autoTests","Tests","tests.DeleteCustomerTest","tests.DeleteCustomerTest","deleteCustomerTest","Delete Customer Test","Проверка успешного удаления существующего клиента из системы."
"passed","Mon Mar 31 14:35:42 GMT 2025","Mon Mar 31 14:35:43 GMT 2025","580","autoTests","Tests","tests.FirstNameSortingTest","tests.FirstNameSortingTest","firstNameSortingTest","Firstname Sorting Test","Проверка фильтрации клиентов по имени в списке."
"passed","Mon Mar 31 14:35:45 GMT 2025","Mon Mar 31 14:35:49 GMT 2025","3544","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","negativeAddCustomerTest","Negative Add Customer Test","Проверка, что система не позволяет создать клиента с невалидными данными."
"passed","Mon Mar 31 14:35:44 GMT 2025","Mon Mar 31 14:35:44 GMT 2025","672","autoTests","Tests","tests.AddCustomerTest","tests.AddCustomerTest","addCustomerTest","Add Customer Test","Проверка успешного создания клиента со сгенерированными данными."
